Category	Points	Question	Answer	Reference
The Five Offerings	100	What was the main ingredient of a grain offering?	Fine flour.	Leviticus 2:1
The Five Offerings	200	What two substances were explicitly forbidden in any grain offering brought to the Lord?	Leaven and honey.	Leviticus 2:11
The Five Offerings	300	What was the sin offering for a leader who sinned unintentionally?	A male goat without blemish.	Leviticus 4:23
The Five Offerings	400	If a lamb was offered as a peace offering, what specific piece of fat was to be removed?	The whole fat tail, cut off close to the backbone.	Leviticus 3:9
The Five Offerings	500	What was to be done with the skin, flesh, head, legs, entrails, and dung of the priest's sin offering bull?	It was to be carried outside the camp and burned on a fire of wood.	Leviticus 4:11-12
The Priesthood of Aaron	100	Who were the two sons of Aaron who offered unauthorized fire to the Lord?	Nadab and Abihu.	Leviticus 10:1
The Priesthood of Aaron	200	What were priests forbidden to do to their heads and beards as a sign of mourning?	Make bald patches on their heads or shave off the edges of their beards.	Leviticus 21:5
The Priesthood of Aaron	300	What two items did Moses place in the breastpiece he put on Aaron?	The Urim and the Thummim.	Leviticus 8:8
The Priesthood of Aaron	400	On which three parts of Aaron's body did Moses place blood from the ram of ordination?	The lobe of his right ear, the thumb of his right hand, and the big toe of his right foot.	Leviticus 8:23
The Priesthood of Aaron	500	What is the punishment for the daughter of a priest who profanes herself by whoring?	She shall be burned with fire.	Leviticus 21:9
Clean & Unclean	100	What are the two characteristics an animal must have to be considered clean to eat?	It parts the hoof and is cloven-footed, and it chews the cud.	Leviticus 11:3
Clean & Unclean	200	Why is the pig considered unclean?	Because it parts the hoof and is cloven-footed but does not chew the cud.	Leviticus 11:7
Clean & Unclean	300	What must be done to an earthenware vessel if a dead swarming thing falls into it?	You shall break it.	Leviticus 11:33
Clean & Unclean	400	Where must a person with a leprous disease live?	Alone; his dwelling shall be outside the camp.	Leviticus 13:46
Clean & Unclean	500	What was the fate of a house with a persistent leprous disease?	It shall be broken down, and its materials carried out of the city.	Leviticus 14:45
The Day of Atonement	100	What animals was Aaron to take from the congregation for the Day of Atonement?	Two male goats for a sin offering and one ram for a burnt offering.	Leviticus 16:5
The Day of Atonement	200	What were the two lots for the goats?	One lot for the Lord and the other lot for Azazel.	Leviticus 16:8
The Day of Atonement	300	What was the purpose of the cloud of incense before the mercy seat?	So that he does not die.	Leviticus 16:13
The Day of Atonement	400	What did Aaron do while his hands were on the live goat's head?	He confessed over it all the iniquities and transgressions of the people of Israel.	Leviticus 16:21
The Day of Atonement	500	What was the man who let the goat go to Azazel required to do before re-entering the camp?	Wash his clothes and bathe his body in water.	Leviticus 16:26
Feasts of the Lord	100	On what day of the first month is the Lord's Passover?	On the fourteenth day of the month at twilight.	Leviticus 23:5
Feasts of the Lord	200	What was unique about the two loaves of bread brought as firstfruits fifty days after the wave sheaf?	They shall be baked with leaven.	Leviticus 23:17
Feasts of the Lord	300	What were the people to dwell in for seven days during the feast in the seventh month?	Booths.	Leviticus 23:42
Feasts of the Lord	400	Why were the Israelites to dwell in booths?	So that their generations may know that the Lord made them dwell in booths when He brought them out of Egypt.	Leviticus 23:43
Feasts of the Lord	500	What is the penalty for anyone who does any work on the Day of Atonement?	That person I will destroy from among his people.	Leviticus 23:30
The Holiness Code	100	What is the famous command regarding one's neighbor?	You shall love your neighbor as yourself.	Leviticus 19:18
The Holiness Code	200	What must not remain with an employer all night until the morning?	The wages of a hired worker.	Leviticus 19:13
The Holiness Code	300	For how long was the fruit of a newly planted tree to be considered forbidden?	Three years.	Leviticus 19:23
The Holiness Code	400	What is the punishment for a man who lies with a male as with a woman?	They shall surely be put to death.	Leviticus 20:13
The Holiness Code	500	Why was the land not to be sold in perpetuity?	For the land is mine.	Leviticus 25:23
