Category	Points	Question	Answer	Reference
Genealogy and Birth	100	How many generations were there from the deportation to Babylon to the Christ?	Fourteen generations	Matthew 1:17
Genealogy and Birth	200	What was the name of the Roman emperor during John the Baptist's ministry?	Tiberius Caesar	Luke 3:1
Genealogy and Birth	300	What did the angel tell Mary her son Jesus would be called?	The Son of the Most High	Luke 1:32
Genealogy and Birth	400	What did the angel of the Lord tell Joseph to do in the dream warning him of Herod?	"Rise, take the child and his mother, and flee to Egypt..."	Matthew 2:13
Genealogy and Birth	500	In Luke's genealogy, who is listed as the son of Adam?	God	Luke 3:38
Temptation in the Wilderness	100	What did Jesus eat during his forty days in the wilderness?	Nothing	Luke 4:2
Temptation in the Wilderness	200	What did the tempter ask Jesus to command the stones to become?	Loaves of bread	Matthew 4:3
Temptation in the Wilderness	300	What did the devil show Jesus from a very high mountain?	All the kingdoms of the world and their glory.	Matthew 4:8
Temptation in the Wilderness	400	What did the devil promise Jesus if he would fall down and worship him?	All the kingdoms of the world and their glory	Matthew 4:8-9
Temptation in the Wilderness	500	What did angels do for Jesus after the devil left him in the wilderness?	They came and were ministering to him.	Matthew 4:11
Calling the Disciples	100	What were James and John doing in their boat when Jesus called them?	Mending their nets	Matthew 4:21
Calling the Disciples	200	What was Simon Peter's response when Jesus asked him to put out his nets for a catch?	"Master, we toiled all night and took nothing! But at your word I will let down the nets."	Luke 5:5
Calling the Disciples	300	What did Jesus say to Simon Peter after the great catch of fish?	"Do not be afraid; from now on you will be catching men."	Luke 5:10
Calling the Disciples	400	Where did Jesus find Matthew (Levi) sitting when he called him?	At the tax booth	Matthew 9:9
Calling the Disciples	500	What did Jesus name the twelve disciples he chose?	Apostles	Luke 6:13
Sabbath Controversies	100	On what day did Jesus heal the invalid at the pool of Bethesda?	The Sabbath	John 5:9
Sabbath Controversies	200	What did David and his men eat that was not lawful?	The bread of the Presence	Matthew 12:4
Sabbath Controversies	300	What was the reaction of the scribes and Pharisees in the synagogue when Jesus healed the man with the withered hand?	They were filled with fury and discussed with one another what they might do to Jesus.	Luke 6:11
Sabbath Controversies	400	Why did Jesus say "the Son of Man is lord even of the Sabbath"?	Because the Sabbath was made for man, not man for the Sabbath.	Mark 2:27-28
Sabbath Controversies	500	What did the ruler of the synagogue say to the people after Jesus healed the bent-over woman?	"There are six days in which work ought to be done. Come on those days and be healed, and not on the Sabbath day."	Luke 13:14
Parables of the Kingdom	100	In the parable of the weeds, when are the weeds separated from the wheat?	At the harvest, which is the end of the age.	Matthew 13:30, 39
Parables of the Kingdom	200	Who did Jesus say were the reapers in the parable of the weeds?	The angels	Matthew 13:39
Parables of the Kingdom	300	According to the parable of the net, what happens to the bad fish that are caught?	They are thrown away.	Matthew 13:48
Parables of the Kingdom	400	In the parable of the wedding feast, what was the king's reaction when the man had no wedding garment?	He ordered him to be bound hand and foot and cast into the outer darkness.	Matthew 22:12-13
Parables of the Kingdom	500	In the parable of the ten virgins, at what time was the cry made, "Here is the bridegroom!"?	Midnight	Matthew 25:6
I Am" Sayings	100	Who did Jesus say he was in his allegory?	"I am the door of the sheep" and "I am the good shepherd."	John 10:7, 11
I Am" Sayings	200	What did Jesus say to Philip and Andrew when the Greeks asked to see him?	"The hour has come for the Son of Man to be glorified."	John 12:23
I Am" Sayings	300	What did Jesus say about his own will when he came from heaven?	"For I have come down from heaven, not to do my own will but the will of him who sent me."	John 6:38
I Am" Sayings	400	What did Jesus say would make a person his disciple?	Abiding in his word	John 8:31
I Am" Sayings	500	How did the Jews respond to Jesus's statement, "before Abraham was, I am"?	They picked up stones to throw at him.	John 8:58-59
