Question	Answer	Reference	Category	Point Value
Who was the first king of Israel?	Saul	1 Samuel 10:1	Kings	100
Who anointed David as king?	Samuel	1 Samuel 16:13	Kings	200
What was Solomon known for?	Wisdom	1 Kings 4:29	Kings	300
Who swallowed Jonah?	A great fish	Jonah 1:17	Prophets	100
Who was called from the burning bush?	Moses	Exodus 3:4	Prophets	200
How many books are in the Bible?	66		Books	100
How many books in the New Testament?	27		Books	200
How many books in the Old Testament?	39		Books	300
What is the first book of the Bible?	Genesis		Genesis	100
What is the last book of the Bible?	Revelation		Revelation	100
Who betrayed Jesus?	Judas Iscariot	Matthew 26:14-15	Gospels	100
What is the shortest verse in the Bible?	"Jesus wept."	John 11:35	Gospels	200
Who wrote most of the New Testament epistles?	Paul		Epistles	100
What is love described as in 1 Corinthians 13?	Patient and kind	1 Corinthians 13:4	Epistles	200
Love is not ___	Envious	1 Corinthians 13:4	Epistles	300
Love does not ___	Boast	1 Corinthians 13:4	Epistles	400
Who was Moses' brother?	Aaron	Exodus 4:14	History	100
How many days was Jesus in the wilderness?	40 days	Matthew 4:2	History	200
Who was thrown into the lion's den?	Daniel	Daniel 6:16	History	300
What was the first plague?	Water to blood	Exodus 7:20	History	400
What did David use to defeat Goliath?	A sling and a stone	1 Samuel 17:49	Poetry	100
Who wrote Psalm 23?	David		Psalms	100
The Lord is my ___	Shepherd	Psalm 23:1	Psalms	200
