Question	Answer	Reference
After healing the man with the withered hand on the Sabbath, the Pharisees immediately held counsel with whom to destroy Jesus?	The Herodians	Mark 3:6
What was the name of the man at the pool of Bethesda who had been an invalid for thirty-eight years?	The text does not name him.	John 5:5
Jesus said his teaching was not his own but from whom?	"his who sent me"	John 7:16
In the parable of the sower, what does the seed that fell on rocky ground represent?	The one who hears the word and immediately receives it with joy, but has no root and falls away during tribulation.	Matthew 13:20-21
What did the father in the parable of the prodigal son give his son upon his return?	The best robe, a ring on his hand, and shoes on his feet.	Luke 15:22
What did Jesus say to the Samaritan woman at the well that revealed his knowledge of her life?	That she had had five husbands and the man she was with was not her husband.	John 4:17-18
What was the first thing the prodigal son planned to say to his father upon his return?	"Father, I have sinned against heaven and before you. I am no longer worthy to be called your son. Treat me as one of your hired servants."	Luke 15:18-19
What did Jesus say about the generation that witnessed his works in Chorazin and Bethsaida, comparing them to Tyre and Sidon?	That it would be more bearable for Tyre and Sidon on the day of judgment.	Matthew 11:21-22
What was the name of the ruler of the synagogue whose daughter Jesus raised from the dead?	Jairus	Mark 5:22
What did the Syrophoenician woman say even the dogs under the table eat?	The children's crumbs	Mark 7:28
Who did the Sadducees, who deny the resurrection, say gave the law about a brother marrying his deceased brother's wife?	Moses	Matthew 22:24
What did Jesus say to the disciples when they were amazed at the withered fig tree?	"Have faith in God."	Mark 11:22
What was the name of the high priest's servant whose ear Peter cut off?	Malchus	John 18:10
To whom did Jesus say, "You would have no authority over me at all unless it had been given you from above"?	Pilate	John 19:11
Who was the disciple that, along with Simon Peter, followed Jesus into the high priest's courtyard?	The other disciple (John), who was known to the high priest	John 18:15
What did Pilate's wife advise him to do regarding Jesus?	"Have nothing to do with that righteous man"	Matthew 27:19
What did Jesus tell the thief on the cross who asked to be remembered?	"Truly, I say to you, today you will be with me in paradise."	Luke 23:43
What three languages was the inscription on Jesus' cross written in?	Aramaic, Latin, and Greek	John 19:20
To whom did the risen Jesus say, "Do not cling to me, for I have not yet ascended to the Father"?	Mary Magdalene	John 20:17
What did Jesus do to prove to the disciples that he was not a spirit?	He showed them his hands and his feet and ate a piece of broiled fish.	Luke 24:39-43
After the resurrection, what did Jesus promise to send his disciples from the Father?	"the promise of my Father upon you... power from on high"	Luke 24:49
How did the Pharisees and scribes react when Jesus told the parable of the wicked tenants?	They perceived that he had told the parable against them.	Luke 20:19
What did Jesus say about Nathanael that prompted Nathanael to confess him as the Son of God?	"Before Philip called you, when you were under the fig tree, I saw you."	John 1:48
