Question	Answer	Reference
What was the name of Judah's wife, the mother of Perez and Zerah?	Tamar	Matthew 1:3
In Luke's genealogy, who was the son of Cainan and the grandson of Shem?	Arphaxad	Luke 3:36
What did the angel tell Zechariah that many would do at the birth of his son?	Rejoice	Luke 1:14
What did the people who heard of John's birth lay up in their hearts, saying what?	"What then will this child be?"	Luke 1:66
What was Mary pondering in her heart after the shepherds' visit?	All the things she had heard and seen.	Luke 2:19
How many days did Jesus' parents travel before they realized he was not with them?	A day's journey	Luke 2:44
According to Mark's quotation of Isaiah, what will the messenger do?	"prepare your way"	Mark 1:2
What did John the Baptist's winnowing fork do?	Clear his threshing floor and gather the wheat into the barn.	Matthew 3:12
What was the devil's final temptation of Jesus in Luke's account?	To throw himself down from the pinnacle of the temple.	Luke 4:9
What did John the Baptist call Jesus, acknowledging his divinity?	The Son of God	John 1:34
What did Jesus say to Nathanael that was greater than seeing him under the fig tree?	"you will see heaven opened, and the angels of God ascending and descending on the Son of Man."	John 1:51
What was the reason John's disciples and a Jew had a discussion?	Over purification	John 3:25
What was the saying that held true about sowing and reaping?	"One sows and another reaps."	John 4:37
What did the official at Capernaum say to Jesus?	"Sir, come down before my child dies."	John 4:49
How did the people of Nazareth react to Jesus' words about the widow of Zarephath and Naaman the Syrian?	They were filled with wrath.	Luke 4:28
What did Jesus say to the paralytic when he healed him?	"I say to you, rise, pick up your bed, and go home."	Mark 2:11
What was the scribes' and Pharisees' reaction to the healing of the paralytic?	They began to question, saying, "Who is this who speaks blasphemies?"	Luke 5:21
What did Jesus say about putting new wine into old wineskins?	The skins will burst, the wine will be spilled, and the skins will be destroyed.	Matthew 9:17
What did Jesus say about those who have drunk old wine?	They do not desire new, for they say, "The old is good."	Luke 5:39
What did the Jews do after Jesus told them "My Father is working until now, and I am working"?	They were seeking all the more to kill him.	John 5:17-18
What kind of resurrection did Jesus say those who have done good will experience?	The resurrection of life	John 5:29
What did Jesus tell his disciples the Son of Man is lord of?	The Sabbath	Matthew 12:8
Which of the twelve apostles was known as "the Zealot"?	Simon	Luke 6:15
What did Jesus say about those who are poor, in the Sermon on the Plain?	"yours is the kingdom of God"	Luke 6:20
What did Jesus say about loving those who love you?	"what benefit is that to you? For even sinners love those who love them."	Luke 6:32
When praying, what did Jesus say to avoid doing like the Gentiles?	Heaping up empty phrases.	Matthew 6:7
Who did the centurion consider himself unworthy of having come under his roof?	Jesus	Matthew 8:8
What did Jesus say about the one who is least in the kingdom of heaven compared to John the Baptist?	He is greater than John.	Matthew 11:11
Who did Jesus say wisdom is justified by?	Her deeds / all her children	Matthew 11:19, Luke 7:35
What did the unclean spirit in the synagogue know about Jesus?	"I know who you are—the Holy One of God."	Mark 1:24
What did the Gerasene demoniac do when he saw Jesus from afar?	He ran and fell down before him.	Mark 5:6
What was the earnest request of the demons called Legion?	Not to send them out of the country.	Mark 5:10
How many blind men did Jesus heal as he passed on from Jairus's house?	Two	Matthew 9:27
Who was the brother of James and Joses, and Simon?	Judas	Mark 6:3
What did Jesus instruct his disciples not to take for their journey?	No bag, no money, no extra tunic.	Matthew 10:9-10
What did Jesus say about a cup of cold water given to one of his "little ones"?	He who gives it "will by no means lose his reward."	Matthew 10:42
What did Herod's daughter ask for on a platter?	The head of John the Baptist	Matthew 14:8
What did the disciples think Jesus was when they saw him walking on the sea?	A ghost	Matthew 14:26
What did the men of Gennesaret do when they recognized Jesus?	They sent around to all that region and brought to him all who were sick.	Matthew 14:35
What did Jesus say defiles a person?	What comes out of the mouth, which proceeds from the heart.	Matthew 15:11, 18
What was the physical condition of the man brought to Jesus in the region of the Decapolis?	He was deaf and had a speech impediment.	Mark 7:32
How did the Pharisees and Sadducees try to test Jesus?	By asking him to show them a sign from heaven.	Matthew 16:1
What did Peter confess Jesus to be at Caesarea Philippi?	"You are the Christ, the Son of the living God."	Matthew 16:16
What did Jesus say about his church and the gates of hell?	"the gates of hell shall not prevail against it."	Matthew 16:18
How many days after Peter's confession was the Transfiguration?	Six days	Matthew 17:1
What did the father of the demon-possessed boy say about the spirit's effect on his son?	"whenever it seizes him, it throws him down, and he foams and grinds his teeth and becomes rigid."	Mark 9:18
What did Jesus use to illustrate the greatness of one in the kingdom of heaven?	A child	Matthew 18:2-4
How much did the unforgiving servant's fellow servant owe him?	A hundred denarii	Matthew 18:28
Why did Jesus not go about in Judea after the conflict over ceremonial uncleanness?	Because the Jews were seeking to kill him.	John 7:1
