Question	Answer	Reference	Point Value
What is the first book of the Bible?	Genesis		100
Who built the ark?	Noah	Genesis 6-9	200
How many books are in the Bible?	66		300
Who was the first man?	Adam	Genesis 2:7	400
What did Moses receive on Mount Sinai?	The Ten Commandments	Exodus 31:18	500
Who led Israel out of Egypt?	Moses	Exodus 3:10	100
What was the first plague of Egypt?	Water to blood	Exodus 7:20	200
What city did the walls fall at?	Jericho	Joshua 6:20	300
Who was swallowed by a great fish?	Jonah	Jonah 1:17	400
Who was the first king of Israel?	Saul	1 Samuel 10:1	500
What is the shortest verse in the Bible?	Jesus wept	John 11:35	100
How many disciples did Jesus have?	12		200
Who betrayed Jesus for 30 pieces of silver?	Judas Iscariot	Matthew 26:15	300
What is the last book of the Bible?	Revelation		400
Who wrote most of the New Testament epistles?	Paul		500
What is the first commandment?	No other gods before me	Exodus 20:3	100
How many days was Jesus in the wilderness?	40	Matthew 4:2	200
What did David use to defeat Goliath?	A sling and stone	1 Samuel 17:49	300
Who interpreted dreams for Pharaoh?	Joseph	Genesis 41:25	400
Who built the first temple?	Solomon	1 Kings 6:1	500
What is the longest book in the Bible?	Psalms		100
What is the shortest book in the Bible?	3 John		200
Who was thrown into the lion's den?	Daniel	Daniel 6:16	300
Who denied Jesus three times?	Peter	Matthew 26:75	400
How many days and nights did it rain during the flood?	40	Genesis 7:12	500
Who parted the Red Sea?	Moses	Exodus 14:21	100
Who was the first murderer?	Cain	Genesis 4:8	200
What is the Golden Rule?	Do to others as you would have them do to you	Matthew 7:12	300
Who was the strongest man in the Bible?	Samson	Judges 16:17	400
What language was the Old Testament written in?	Hebrew		500
