Question	Answer	Reference
Who did the Lord call and speak to from the tent of meeting?	Moses	Leviticus 1:1
From what types of livestock were the people of Israel to bring their offerings?	From the herd or from the flock.	Leviticus 1:2
What were the requirements for a burnt offering from the herd?	A male without blemish.	Leviticus 1:3
Where was the burnt offering from the herd to be brought for acceptance before the Lord?	To the entrance of the tent of meeting.	Leviticus 1:3
What was the person offering a burnt offering required to do to its head?	Lay his hand on the head of the burnt offering.	Leviticus 1:4
What was the purpose of laying a hand on the head of the burnt offering?	It shall be accepted for him to make atonement for him.	Leviticus 1:4
Who was tasked with bringing the blood of the bull offering to the altar?	Aaron's sons the priests.	Leviticus 1:5
What was to be done with the blood of the bull offered as a burnt offering?	It was to be thrown against the sides of the altar.	Leviticus 1:5
What two actions were to be performed on the burnt offering after it was killed?	It was to be flayed and cut into pieces.	Leviticus 1:6
What did the sons of Aaron the priest put on the altar before arranging the wood?	Fire.	Leviticus 1:7
What three parts of the bull offering were arranged on the wood on the altar fire?	The pieces, the head, and the fat.	Leviticus 1:8
Which parts of the bull offering had to be washed with water before being burned?	Its entrails and its legs.	Leviticus 1:9
How is the aroma of the burnt offering described?	A pleasing aroma to the Lord.	Leviticus 1:9
What animals could be used for a burnt offering from the flock?	Sheep or goats.	Leviticus 1:10
On which side of the altar was a burnt offering from the flock to be killed?	On the north side of the altar.	Leviticus 1:11
What types of birds could be brought as a burnt offering?	Turtledoves or pigeons.	Leviticus 1:14
What was the priest to do to the head of a bird offering at the altar?	Wring off its head and burn it on the altar.	Leviticus 1:15
Where was the blood of the bird offering to be drained?	On the side of the altar.	Leviticus 1:15
What part of the bird offering was to be removed and cast beside the altar?	Its crop with its contents.	Leviticus 1:16
Where specifically was the bird's crop to be cast?	Beside the altar on the east side, in the place for ashes.	Leviticus 1:16
How was the bird offering to be torn open before being burned?	By its wings, but not severed completely.	Leviticus 1:17
What was the main ingredient of a grain offering?	Fine flour.	Leviticus 2:1
What two ingredients were to be poured and put on a grain offering of fine flour?	Oil and frankincense.	Leviticus 2:1
Who was to receive the grain offering from the offerer?	Aaron's sons the priests.	Leviticus 2:2
What portion of the grain offering was burned on the altar?	A handful of the fine flour and oil, with all of its frankincense.	Leviticus 2:2
What was the burned portion of the grain offering called?	Its memorial portion.	Leviticus 2:2
Who received the rest of the grain offering after the memorial portion was burned?	Aaron and his sons.	Leviticus 2:3
How is the portion of the grain offering for Aaron and his sons described?	It is a most holy part of the Lord's food offerings.	Leviticus 2:3
If a grain offering was baked in an oven, what was a key requirement for the loaves or wafers?	They shall be unleavened.	Leviticus 2:4
What was a grain offering baked on a griddle to be made of?	Fine flour unleavened, mixed with oil.	Leviticus 2:5
What must be done to a griddle-baked grain offering before pouring oil on it?	You shall break it in pieces.	Leviticus 2:6
What were the ingredients for a grain offering cooked in a pan?	Fine flour with oil.	Leviticus 2:7
What two substances were explicitly forbidden in any grain offering brought to the Lord?	Leaven and honey.	Leviticus 2:11
What seasoning was required for all grain offerings?	Salt.	Leviticus 2:13
What was the salt in the grain offering called?	The salt of the covenant with your God.	Leviticus 2:13
For a grain offering of firstfruits, what form of grain was to be offered?	Fresh ears, roasted with fire, crushed new grain.	Leviticus 2:14
What was offered to the Lord from a sacrifice of peace offering from the herd?	The fat covering the entrails and all the fat that is on the entrails.	Leviticus 3:3
What two organs were offered with their fat as part of the peace offering?	The two kidneys and the long lobe of the liver.	Leviticus 3:4
Where on the altar was the fat of the peace offering burned?	On top of the burnt offering, which is on the wood on the fire.	Leviticus 3:5
