Question	Answer	Reference	Category	Point Value
Who led Israel out of Egypt?	Moses	Exodus 3:10	Patriarchs	100
Who was the father of the 12 tribes?	Jacob		Prophets	100
Who interpreted Pharaoh's dreams?	Joseph	Genesis 41:25	Wisdom	100
What city was Paul heading to when converted?	Damascus	Acts 9:3	New Testament	100
Who denied Jesus three times?	Peter	Matthew 26:75	Disciples	100
Who was the first murderer?	Cain	Genesis 4:8	Patriarchs	200
Who built the first temple?	Solomon	1 Kings 6:1	Prophets	200
What did Solomon ask for?	Wisdom	1 Kings 3:9	Wisdom	200
Who was the first Christian martyr?	Stephen	Acts 7:59	New Testament	200
What was Matthew's profession?	Tax collector	Matthew 9:9	Disciples	200
Who interpreted dreams in prison?	Joseph	Genesis 40:8	Patriarchs	300
What did Isaiah see in his vision?	The Lord on His throne	Isaiah 6:1	Prophets	300
The fear of the Lord is the beginning of ___.	Knowledge	Proverbs 1:7	Wisdom	300
Who wrote most of the epistles?	Paul		New Testament	300
Who was the doubting disciple?	Thomas	John 20:27	Disciples	300
